fragment_id,surface_class,tyre_type,extent_x,extent_y,extent_z,roughness,mesh_path
frag_0000,sidewall,passenger,0.19914,0.04907,0.01266,0.3212,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0000.obj
frag_0001,sidewall,motorcycle,0.13205,0.07325,0.01067,0.2895,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0001.obj
frag_0002,tread,otr_mining,0.14660,0.21119,0.05297,0.5216,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0002.obj
frag_0003,tread,motorcycle,0.12855,0.18616,0.06347,0.4857,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0003.obj
frag_0004,sidewall,otr_mining,0.11773,0.09125,0.00943,0.2146,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0004.obj
frag_0005,sidewall,passenger,0.14350,0.06289,0.00895,0.1058,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0005.obj
frag_0006,sidewall,passenger,0.11706,0.07385,0.01211,0.3950,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0006.obj
frag_0007,sidewall,motorcycle,0.17572,0.05376,0.00922,0.2116,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0007.obj
frag_0008,sidewall,truck_hgv,0.20166,0.09244,0.01376,0.1317,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0008.obj
frag_0009,tread,passenger,0.13235,0.11905,0.05164,0.4931,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0009.obj
frag_0010,tread,passenger,0.23115,0.16027,0.05203,0.5721,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0010.obj
frag_0011,tread,motorcycle,0.16113,0.18456,0.05395,0.5779,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0011.obj
frag_0012,tread,otr_mining,0.15661,0.23919,0.04740,0.3110,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0012.obj
frag_0013,sidewall,truck_hgv,0.11526,0.09210,0.01068,0.3569,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0013.obj
frag_0014,sidewall,passenger,0.18098,0.09072,0.01216,0.3168,/home/claude/work/tyre_sorting_ws/dataset/meshes/frag_0014.obj
