belt_speed,stream_entropy,n_fragments,pick_success_rate,classification_purity,mean_convergence_s,p95_convergence_s,throughput_frags_per_min
0.05,0.0,40,1.0,0.96,0.968,1.0134999999999998,61.985196528170356
0.05,0.5,40,1.0,0.965,0.966,1.01,62.11258771650187
0.05,1.0,40,1.0,0.955,0.96975,1.0166666666666666,61.87182932640098
0.1,0.0,40,1.0,0.965,0.9767499999999999,1.0168333333333333,61.42933089687349
0.1,0.5,40,1.0,0.9299999999999999,0.9758333333333333,1.02,61.48615601212171
0.1,1.0,40,1.0,0.95,0.9754999999999999,1.017,61.507992548316935
0.15,0.0,40,1.0,0.945,0.9900833333333333,1.0334999999999999,60.60138640052862
0.15,0.5,40,1.0,0.975,0.991,1.0371666666666666,60.545788529398955
0.15,1.0,40,1.0,0.96,0.9928333333333333,1.037,60.43376542807432
0.2,0.0,40,1.0,0.995,1.0321666666666667,1.0835,58.13086493699256
0.2,0.5,40,1.0,0.98,1.0315833333333333,1.0836666666666666,58.16402982102998
0.2,1.0,40,1.0,0.975,1.0279166666666666,1.0835,58.37475823034117
0.25,0.0,40,1.0,1.0,1.1206666666666667,1.1903333333333332,53.54004036044348
0.25,0.5,40,1.0,0.945,1.1213333333333333,1.1966666666666665,53.50844792471034
0.25,1.0,40,1.0,0.96,1.1196666666666666,1.1773333333333333,53.58947389134464
0.28,0.0,40,1.0,0.965,1.2800833333333332,1.3771666666666667,46.872561731844954
0.28,0.5,40,1.0,0.94,1.2802499999999999,1.3966666666666665,46.86793378342554
0.28,1.0,40,1.0,0.955,1.2725,1.3705,47.15171671099635
0.3,0.0,40,1.0,0.955,1.5733333333333333,1.7271666666666667,38.13640987761793
0.3,0.5,40,1.0,0.95,1.5858333333333332,1.734,37.83742649237845
0.3,1.0,40,1.0,0.965,1.58175,1.7368333333333332,37.93358978257006
0.32,0.0,40,1.0,1.0,2.4081666666666663,2.6453333333333333,24.917278727894917
0.32,0.5,40,1.0,0.905,2.4210833333333333,2.6738333333333335,24.7827176524291
0.32,1.0,40,1.0,0.955,2.427,2.6876666666666664,24.72268380020969
0.34,0.0,40,1.0,0.945,6.695416666666667,7.396833333333333,8.961624849120048
0.34,0.5,40,1.0,0.935,6.752166666666667,7.512,8.886456174211924
0.34,1.0,40,1.0,0.955,6.714416666666667,7.502166666666667,8.936393642343958
